sku;categories;enabled;erp_artikelomschrijving;erp_brutoprijs-EUR;erp_btwcode;erp_eancode;erp_eenheid_verkoopaantal;erp_extra_artikelinformatie;erp_gewicht;erp_gewicht-unit;erp_merk;erp_vervangend_artikel;erp_voorlopend_artikelnummer_1;erp_voorlopend_artikelnummer_2;erp_voorlopend_artikelnummer_3;erp_voorlopend_artikelnummer_4;family;pim_aansluiting_hart_op_hart;pim_aansluiting_hart_op_hart-unit;pim_aantal_aandrijfschakels;pim_aantal_bewegingen_min;pim_aantal_in_machine;pim_aantal_lagen;pim_aantal_tanden;pim_accuduur_boost_snelheid;pim_accuduur_hoge_snelheid;pim_accuduur_lage_snelheid;pim_accuspanning;pim_accuspanning-unit;pim_afmetingen;pim_artikelnaam;pim_artikelstatus;pim_asgat;pim_asgat-unit;pim_bandenmaat;pim_binnendoorsnee_band;pim_binnendoorsnee_band-unit;pim_blaaspijpen;pim_blaaspijpen-unit;pim_bladaansluiting;pim_bladbreedte;pim_bladbreedte-unit;pim_bladlengte_cm;pim_bladmodel;pim_bladpuntbescherming;pim_blad_dikte_mm;pim_blad_dikte_mm-unit;pim_breedte;pim_breedte-unit;pim_buitendoorsnee_band;pim_buitendoorsnee_band-unit;pim_capaciteit;pim_centreergaten;pim_centreergaten-unit;pim_diameter;pim_diameter-unit;pim_diepte;pim_diepte-unit;pim_dikte;pim_dikte-unit;pim_dikte_aandrijfschakel;pim_dikte_aandrijfschakel-unit;pim_draaddiameter;pim_draaddoorvoer;pim_draaibare_handgreep;pim_draaiing;pim_draairichting;pim_ergonomische_stuurbeugel;pim_functies;pim_gebruiksduur;pim_gebruikstoepassing;pim_geluidsniveau;pim_geluidsniveau-unit;pim_geluidsniveau_in_gebruik;pim_geluidsniveau_in_gebruik-unit;pim_geluidsvermogen;pim_geluidsvermogen-unit;pim_geschikt_voor;pim_geschikt_voor_merk;pim_geschikt_voor_type;pim_gewicht;pim_gewicht_met_accu;pim_gewicht_met_accu-unit;pim_gewicht_zonder_accu;pim_gewicht_zonder_accu-unit;pim_groefbreedte;pim_groefbreedte-unit;pim_handgreephoogtes;pim_highvisibility;pim_hoogte;pim_hoogte-unit;pim_inhoud_opvangbak;pim_inhoud_opvangbak-unit;pim_instelbare_maaihoogte;pim_inwendige_schakelbreedte;pim_inwendige_schakelbreedte-unit;pim_kettinggeleider;pim_kettingsnelheid;pim_kettingsnelheid-unit;pim_kettingsteek;pim_kettingtype;pim_klasse;pim_kleur;pim_kleur_montuur;pim_lengte;pim_lengte-unit;pim_luchtdebiet;pim_luchtsnelheid;pim_luchtsnelheid-unit;pim_maaibereik;pim_maaibereik-unit;pim_maaibreedte_cm;pim_maat;pim_materiaal;pim_materiaal_van_maaidek;pim_max_takdikte;pim_max_takdikte-unit;pim_meegeleverd-nl_NL-sdl;pim_merknaam;pim_mesopening;pim_mesopening-unit;pim_mestype;pim_met_accu_lader;pim_minimale_bestelhoeveelheid;pim_motortype;pim_niet_meegeleverd-nl_NL-sdl;pim_noodstop;pim_normering;pim_onbelaste_snelheid;pim_oplaadtijd;pim_oplaadtijd-unit;pim_opvangzak;pim_opvangzak-unit;pim_opvangzak_achter;pim_opvangzak_achter-unit;pim_parkeerrem;pim_reflecterende_strepen;pim_rollengte;pim_rollengte-unit;pim_schakellengte;pim_schakellengte-unit;pim_schoepenwiel;pim_schoepenwiel-unit;pim_serie;pim_snelheid;pim_snelheidsinstelling;pim_snelheidsregeling;pim_snijcapaciteit;pim_snijhoogte;pim_snr_waarde;pim_snr_waarde-unit;pim_soft_start;pim_soort_ketting;pim_stof;pim_tandafstand_van_mes;pim_tandafstand_van_mes-unit;pim_toerental;pim_totale_lengte;pim_totale_lengte-unit;pim_transmissie;pim_transportwielen;pim_trillingen;pim_type;pim_uitvoering;pim_veiligheidsklasse;pim_ventury_jet;pim_vermogen;pim_verpakking;pim_verpakt_per;pim_verstelbare_blaasrichting;pim_voor_maaidraad_rond;pim_voor_maaidraad_stervormig;pim_voor_maaidraad_tot;pim_voor_maaidraad_vierkant;pim_voor_maaikop;pim_voor_type;pim_vorm;pim_waterafstotend;pim_werkbreedte;pim_werkbreedte-unit;pim_werkbreedte_min_max;pim_werking_van_messen;pim_wielaandrijving;pim_wijze_van_aandrijving;pim_zelfrijsnelheid;pim_zelfrijsnelheid-unit;pim_zoekwoorden;product_documents;product_document_1;product_document_2;product_document_3;product_document_4;product_document_5;product_document_6;product_document_7;product_document_8;product_document_9;product_document_10;product_images;product_image_1;product_image_2;product_image_3;product_image_4;product_image_5;product_image_6;product_image_7;product_image_8;product_image_9;product_image_10;product_video_1;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;X_SELL-groups;X_SELL-products;X_SELL-product_models
20100087;alle_producten,be15050010,dl_ego,ego15050010,sdl10040015,tmc10040015;1;Ego rugharnas bh1001 t.b.v. compacte accu incl adapter;131.40;2;06924969112380;1;;1.50;KILOGRAM;Ego;;Bh1001;;;;accus_en_laders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BH1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100087/product_image_1/20100087-1.jpg;;;;;;;;;;;;;;;20100066,20100084,20100629;;;20100105,20100720,28700109;
20100538;alle_producten,be10040005,dl_ego,ego10040005,sdl10100300,tmc10100300;1;Ego bosmaaier st1511e kit 2,5ah+std.lader;329.75;2;02080000404204;1;;9;KILOGRAM;Ego;;20100535;St1511e;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;trimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2_4mm;powerload_maaikop;;;met_de_klok_mee;;;;Particulier;73.70;DECIBEL;93;DECIBEL;;;;;;;;;3.20;KILOGRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;1;;koolborstelmotor;;;;6000;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;173;MILLIMETER;;;1_1en1_5;ST1511E;;;;;;;;;;;;;;;;38;CENTIMETER;;;;accugedreven;;;;;;;;;;;;;;;;files/20100538/product_image_1/ST1510E_1.jpg;files/20100538/product_image_2/ST1510E_2.jpg;files/20100538/product_image_3/EGO Standard Charger_CH2100E.jpg;files/20100538/product_image_4/BA1400T_1.jpg;;;;;;;https://www.youtube.com/watch?v=dnVOsRq0gZc&loop=0;;;;;20100538;;;28700087,28700094,28700137;
20100567;alle_producten,be10005005,dl_ego,ego10005005,sdl10005005,tmc10005005;1;Ego bladblazer lb5301e (2,5ah + std lader);263.63;2;02080000404228;1;;4.70;KILOGRAM;Ego;20100565;20100565;20100055;;;bladblazers_en_hakselaars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Particulier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LB5301E;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100567/product_image_1/20100567-1.jpg;;;;;;;;;;;;;;;20100057,20100058,20100755;;;20100008,20100595,28700160;
20100572;alle_producten,be10025000,dl_ego,ego10025000,sdl10025000,tmc10025000;1;Ego kettingzaag cs1401e 2,5ah+std.lader (kit);313.22;2;02080000404235;1;;5.64;KILOGRAM;Ego;;20100570;20100037;;;snoeien_en_zagen;;;;;;;;;;;;;;kettingzaag;;;;;;;;;;;;35_cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;Particulier;86;DECIBEL;100;DECIBEL;;;;;;;;;3.80;KILOGRAM;;;;;;;;;;;;ag1400;13.50;METER_PER_SECOND;;ac1400;;;;;;;;;;;;;;;;;;ego;;;;1;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5_4en4_1;CS1401E;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;files/20100572/product_image_2/BA1400T_1.jpg;files/20100572/product_image_3/EGO Standard Charger_CH2100E.jpg;;;;;;;;;;;;;;;;28700020,28700030,28700031;
20100627;alle_producten,be15050010,dl_ego,ego15050010,sdl10040015,tmc10040015;1;Ego rug batterij houder bhx1000 inclusief kabel;90.08;2;02080000402637;1;;2.40;KILOGRAM;Ego;;Bhx1000;;;;accus_en_laders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BHX1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100627/product_image_1/20100627-1.jpg;;;;;;;;;;;;;;;20100066,20100087,20100629;;;20100078,20100627,28700109;
20100629;alle_producten,be15050010,dl_ego,ego15050010,sdl10040015,tmc10040015;1;Ego rugharnas pro bhx1000-k0002 compleet;180.99;2;02080000402644;1;Bhx1000 +afh1500 + adb1000;2.40;KILOGRAM;Ego;;Bhx1000-k0002;Bhx1000-s;;;accus_en_laders;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BHX1000-k0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100629/product_image_1/20100629-1.jpg;;;;;;;;;;;;;;;20100066,20100084,20100096;;;20100105,20100106,20100720;
20100720;alle_producten,be15040010,dl_ego,ego15040010,sdl15040010,tmc15040010;1;Ego accu ba5600t 10.0 ah 56 volt accu 0400145002;445.45;2;02080000403955;1;;3.40;KILOGRAM;Ego;;;;;;accus_en_laders;;;;;;;;;;;;;;accu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;semi_professioneel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BA5600T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100720/product_image_1/10AMP_EGO_G3_Battery_4P_3DID_CMYK_new1.png;;;;;;;;;;https://youtu.be/X4cEKtaKK-4;;;;;20100085,20100105,20100629;;;20100629;
20100740;alle_producten,be10040005,dl_ego,ego10040005,sdl10100300,tmc10100300;1;Ego rotocut rtx2300 0260082001;205.78;2;02080000403993;1;;1.90;KILOGRAM;Ego;;;;;;bosmaaiers_en_trimmers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Professioneel;79.30;DECIBEL;93;DECIBEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23_cm;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RTX2300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100740/product_image_1/RTA2300_Rotocut attachment_0628_CMYK_new.jpg;files/20100740/product_image_2/Rotocut_Detail.jpg;files/20100740/product_image_3/Commercial_Rotocut_3861.jpg;files/20100740/product_image_4/Commercial_Rotocut_3866.jpg;;;;;;;;;;;;;;;;
20100748;alle_producten,be15001500,dl_ego,ego15001500,sdl15001520,tmc15001520;1;Ego osa1000 olive shaker aanbouwdeel;288.42;2;02080000404006;1;;0;KILOGRAM;Ego;;;;;;multitools;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ego;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;files/20100748/product_image_1/OSA1000.jpg;;;;;;;;;;;;;;;;;;;
20100750;alle_producten,be10025000,dl_ego,ego10025000,sdl10025000,tmc10025000;1;Ego kettingzaag cs1800e 45cm 0140003003;263.63;2;02080000403986;1;;4.50;KILOGRAM;Ego;;;;;;snoeien_en_zagen;;;;;;;;;;;;;;kettingzaag;;;;;;;;;;;;45_cm;;;;;;;;;;;;;;;;;;;;;;;;;;;;semi_professioneel;93;DECIBEL;104;DECIBEL;;;;;;;;;4.47;KILOGRAM;;;;;;;;;;;;ag1800;20;METER_PER_SECOND;;ac1800;;;;;;;;;;;;;;;;;;ego;;;;0;;koolborstelloos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CS1800E;;;;;;;;;;;;;;;;;;;;;accugedreven;;;;;;;;;;;;;;;;files/20100750/product_image_1/CS1800E_45cm chain saw_0628_cmyk.jpg;;;;;;;;;;https://youtu.be/e31pinkBMDM;;;;;20100008,20100595,28700031,28700088,28700094;;;20100008,20100595,28700031,28700150,28700151;
