sku;post_title;post_excerpt;post_content;post_status;regular_price;sale_price;stock_status;stock;manage_stock;weight;Images;tax:product_type;tax:product_cat
20100087;Ego rugharnas bh1001 t.b.v. compacte accu incl adapter;5 MP Primary Camera;;publish;131.40;;instock;1;;1.50;/wp-content/uploads/files/20100087/product_image_1/20100087-1.jpg;;accus_en_laders
20100538;Ego bosmaaier st1511e kit 2,5ah+std.lader;;;publish;329.75;;instock;1;;9;/wp-content/uploads/files/20100087/product_image_1/20100087-1.jpg;;bosmaaiers_en_trimmers
20100567;Ego bladblazer lb5301e (2,5ah + std lader);;;publish;263.63;;instock;1;;4.70;/wp-content/uploads/files/20100087/product_image_1/20100087-1.jpg;;bladblazers_en_hakselaars
20100572;Ego kettingzaag cs1401e 2,5ah+std.lader (kit);;;publish;313.22;;instock;1;;5.64;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;snoeien_en_zagen
20100627;Ego rug batterij houder bhx1000 inclusief kabel;Formal shoe leather made;Formal shoe leather made , black color;publish;90.08;;instock;1;;2.40;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
20100629;Ego rugharnas pro bhx1000-k0002 compleet;LED TV 20 inches;LED TV 20 inches by Samsung;publish;180.99;;instock;1;;2.40;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
20100720;Ego accu ba5600t 10.0 ah 56 volt accu 0400145002;Double door Refrigerator;Double door Refrigerator with auto power saving;publish;445.45;;instock;1;;3.40;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
20100740;Ego rotocut rtx2300 0260082001;Washing machine with remote control;Washing machine with remote control and much more options;publish;205.78;;instock;1;;1.90;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bosmaaiers_en_trimmers
20100748;Ego osa1000 olive shaker aanbouwdeel;;;publish;288.42;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;multitools
20100750;Ego kettingzaag cs1800e 45cm 0140003003;;;publish;263.63;;instock;1;;4.50;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;snoeien_en_zagen
20100755;Ego rugblazer lb6000e-k1103 10ah+snellader;;;publish;619;;instock;1;;9.90;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bladblazers_en_hakselaars
28700055;Ego spoel as1301 2.0mm voor st1210 0340164750;;;publish;5.77;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bosmaaiers_en_trimmers
28700087;Ego handschoen gv001e-s maat s synthetisch;;;publish;13.21;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;handschoenen
28700088;Ego handschoen gv001e-m maat m synthetisch;;;publish;13.21;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;handschoenen
28700089;Ego handschoen gv001e-l maat l synthetisch;;;publish;13.21;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;handschoenen
28700098;Ego handschoen gv001e-xl maat xl synthetisch;;;publish;13.21;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;handschoenen
28700099;Ego heup harnass ahp1500 0340169739;;;publish;24.78;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;accus_en_laders
28700103;Blaasmond rond an6000r t.b.v. lbx6000;;;publish;6.60;;instock;1;;0;/wp-content/uploads/files/20100572/product_image_1/EGO Chain Saw_14inch_CS1400E.jpg;;bladblazers_en_hakselaars
